BLEVEL	ID_SYS_BUTTON	ICON	ID_SYS_SCREEN_AREA	ID_SYS_APPLICATION_AREA	INTERN_NAME_BUTTON	SCREEN_NAME	EXIST_CHILD	ID_SYS_BUTTON_PROP	ID_SBP_PARENT	RANK	SUB_RANK	ID_SOFTWARE_CONTEXT	FLG_CANCEL	FLG_CONTENT	FLG_CREATE	FLG_DETAIL	FLG_DIGITAL	FLG_FREQ	FLG_GRAPH	FLG_HELP	FLG_NO	FLG_OK	FLG_PRINT	FLG_SEARCH	FLG_VISION	FLG_ACTION	FLG_VIEW	FLG_RESET_CONTEXT	TOOLTIP_TITLE	TOOLTIP_DESC	RANK2	ACTION	FLG_SCREEN_MODE	FLG_GLOBAL_SHORTCUT	FLG_INFO_BUTTON
1	18	ExitIcon	1	600	LOGOUT			9688		0		11	I	I	I	I	I	I	I	I	I	I	I	I	I	I	N	Y	Exit application		0		NL	A	N
1	14	BackIcon	2	600	BACK			9684		10		11	I	I	I	I	I	I	I	I	I	I	I	I	I	I	N	N	Go back		0		NL	A	N
1	24	MyPatientsIcon	3	600	MY_PATIENT_DOCTOR	INPGridMyPatients.swf		11893		0		11	A	I	A	I	N	N	N	A	N	A	A	N	N	A	A	Y	My patients		0		NL	A	N
1	6767	BedManagementIcon	3	600	BMNG_GRID_DASHBOARD_SERVICES	BedManagementDashboard.swf		19604		0		11	A	I	I	A	N	I	N	A	N	A	I	I	N	A	A	N	Bed management		0		NL	A	N
1	26	AllPatientsIcon	3	600	ALL_PATIENT_DOCTOR	INPGridAllPatients.swf		9693		10		11	I	I	A	I	N	N	N	A	N	A	A	N	N	A	A	Y	All patients		0		NL	A	N
1	6235	ScheduledIcon	3	600	GRID_SCHEDULED_INPATIENTS	INPScheduledEpisodes.swf		13416		55		11	I	I	A	I	N	N	N	A	N	A	A	N	N	A	A	Y	Scheduled admissions		0		NL	A	N
1	1003	BirdsEyeIcon	3	600	BIRS_EYE_ICON	INPBirdsEyeView.swf		9696		80		11	I	I	A	I	N	N	N	A	N	A	I	N	N	N	I	Y	Patient location		0		NL	A	N
1	73	BarCodeIcon	3	600	BAR_CODE			9697		120		11	I	I	I	I	N	N	N	A	N	A	I	N	N	N	I	Y	Patient's barcode		0		NL	A	N
1	3081	ScheduledNewIcon	3	600	AGENDA	CalendarMonthOverview.swf		12195		130		11	A	A	A	I	N	N	N	A	N	A	I	N	A	A	N	Y	Scheduler		0	launchExternalApplication(301)	NL	A	N
1	4063	ResponsibilityTransferIcon	3	600	RESPONSABILITY_TRANSFER_EDIS			11758		160		11	I	I	A	I	N	N	N	A	N	A	I	N	N	N	I	Y	Transfers		0		NL	A	N
1	6314	CheckListIcon	3	600	PENDING_TASKS			17320		170		11	I	I	I	I	N	N	N	A	N	A	I	N	N	N	I	Y	To-do list		0		NL	A	N
